"Issue ID","Issue Type","Summary","Parent","Priority","Description","Labels","Labels","Labels"
"HIS-6","Story","Historia 6 - Listar categorias","EP-HIS","Low","Como cliente o administrador, quiero ver las categorias disponibles, para filtrar productos o clasificar uno nuevo.

Criterios de aceptacion:
- Recibo el id y el nombre de cada categoria.
- Las categorias vienen precargadas; en esta entrega solo se listan.

TERMINADA en la tarea B1, ya en main.","sprint-1","rances",""
"HIS-7","Story","Historia 7 - Reactivar producto","EP-HIS","Medium","Como administrador, quiero volver a activar un producto que habia desactivado, para ponerlo de nuevo a la venta sin crearlo otra vez.

Criterios de aceptacion:
- Queda marcado como activo y vuelve a aparecer en el listado.
- Sus demas datos no cambian.
- Si ya estaba activo, responde con exito sin cambiar nada.
- Si el producto no existe, recibo 404.

Nueva en el contrato v2.3. La pidio tambien el equipo A, que necesita el evento de reactivacion.
Backend: tarea B2. Frontend: tarea F3.","sprint-1","hector",""
"HIS-8","Story","Historia 8 - Ver los productos desactivados","EP-HIS","Medium","Como administrador, quiero ver tambien los productos que desactive, para poder encontrarlos y reactivarlos.

Criterios de aceptacion:
- Cuando consulto el listado pidiendo los inactivos, los recibo paginados igual que los activos.
- Si no pido nada, el listado sigue devolviendo solo los activos, como antes.

Nueva en el contrato v2.3.
Backend: tarea B3. Frontend: tarea F3.","sprint-1","jhon",""
"TAR-B1","Task","B1 - Base del proyecto","EP-BAC","Highest","Esqueleto de Spring Boot, conexion a MongoDB con Docker, modelos Producto y Categoria, carga de categorias, GET /categorias y manejo global de errores con el formato del contrato.

TERMINADA y en main (pull requests #1 y #2).","sprint-1","rances","backend"
"TAR-B2","Task","B2 - Escritura de productos","EP-BAC","High","Rama: b2-escritura. Historias 1, 4 y 7.

Entrega:
- POST /productos -> 201 con el producto creado
- PUT /productos/{id} -> 200 con el producto actualizado
- POST /productos/{id}/activar -> 200, idempotente
- POST /productos/descontar-stock -> 200 o 409 STOCK_INSUFICIENTE

El descuento de stock va en un pull request aparte: es la parte mas delicada.

Guia paso a paso, con el codigo ya probado: docs/guias/B2-ESCRITURA.md","sprint-1","hector","backend"
"TAR-B3","Task","B3 - Lectura y borrado","EP-BAC","High","Rama: b3-lectura. Historias 2, 3, 5 y 8.

Entrega:
- GET /productos con paginacion, filtro por categoria y parametro activo
- GET /productos/{id}, que devuelve tambien los inactivos
- DELETE /productos/{id} -> 204, idempotente

Guia paso a paso, con el codigo ya probado: docs/guias/B3-LECTURA.md","sprint-1","jhon","backend"
"TAR-B4","Task","B4 - Infraestructura y eventos","EP-BAC","High","Rama: b4-infra. Conviene dividirla en cinco pull requests: eventos, Docker, Swagger, Eureka y Kong.

Entrega:
- RabbitMQ: exchange topic catalogo.eventos con las cuatro routing keys
- Dockerfile y docker-compose con el servicio, Mongo y RabbitMQ
- Registro en Eureka y ruta en Kong con strip_path
- Swagger con springdoc 3.1.1

Los eventos esperan a que B2 y B3 esten en main.

Guia paso a paso, con todo verificado: docs/guias/B4-INFRAESTRUCTURA.md","sprint-1","cristian","backend"
"TAR-F1","Task","F1 - Base del modulo de frontend","EP-FRO","High","Rama: f1-base. Repositorio teambsoft-frontend.

Entrega: proyecto Vite + Vue 3, Vue Router, cliente HTTP con la URL base en VITE_API_URL, y los cinco estados compartidos.

BLOQUEA a F2 y F3: es lo primero del frontend que tiene que entrar a main.

Guia paso a paso, con el codigo ya probado: docs/guias/F1-BASE.md","sprint-1","juandiego","frontend"
"TAR-F2","Task","F2 - Vistas de lectura","EP-FRO","Medium","Rama: f2-lectura. Historias 2 y 3.

Entrega: listado con rejilla, filtro por categoria y paginacion que empieza en 1; y vista de detalle que muestra los productos retirados como no disponibles.

Depende de F1.

Guia paso a paso, con el codigo ya probado: docs/guias/F2-LECTURA.md","sprint-1","roger","frontend"
"TAR-F3","Task","F3 - Vistas de administracion","EP-FRO","Medium","Rama: f3-admin. Historias 1, 4, 5, 7 y 8.

Entrega: tabla de administracion con los filtros de estado, formulario de creacion y edicion, confirmacion antes de retirar, y reactivar.

Depende de F1 y de F2 (usa sus utilidades de formato).

Guia paso a paso, con el codigo ya probado: docs/guias/F3-ADMINISTRACION.md","sprint-1","carlos","frontend"
"TAR-H1","Task","H1 - Cascaron del Host App","EP-HOS","Highest","Rama: h1-cascaron. Repositorio teambsoft-hostapp.

Entrega: proyecto Vite + Vue 3 con encabezado, menu, enrutador, los espacios de cada modulo y las variables de estilo del contrato del Host App.

Etapa 1: composicion por rutas (obligatoria). Etapa 2: Module Federation, solo si hay tiempo.

PRIORIDAD MAXIMA: de esta tarea dependen los equipos A y C para integrar sus modulos.","sprint-1","rances","hostapp"
"TAR-INV","Task","Invitar a los equipos A y C al repositorio del Host App","EP-HOS","High","Necesitan acceso de escritura para leer el contrato de integracion y registrar su modulo en el enrutador con un pull request.

BLOQUEADO: faltan los usuarios de GitHub de los equipos A y C.","sprint-1","rances","coordinacion"
"TAR-INF","Task","Decidir quien opera Kong y el servidor de Eureka","EP-HOS","Highest","Los tres contratos dicen que el trafico pasa por Kong y ninguno dice quien lo levanta. El servidor de Eureka tampoco tiene dueno.

Es infraestructura compartida: un Kong por equipo no es una puerta de entrada, son tres. Propuesta: que el equipo A o el C la tome, ya que el equipo B asumio el Host App.

Mientras se decide, cada equipo levanta el suyo en local para desarrollar.","sprint-1","rances","coordinacion"
"TAR-C23","Task","Contrato de servicio v2.3","EP-DOC","High","Revision cruzada con los contratos de Busqueda v1.0 y Carrito v1.1. Eventos con descripcion y stock, evento producto.reactivado, endpoints de activar y descontar-stock, parametro activo y codigo STOCK_INSUFICIENTE.

TERMINADA, en main (pull request #6).","sprint-1","rances","documentacion"
"TAR-CHA","Task","Contrato del Host App v1.0","EP-DOC","High","Superficie de integracion entre el cascaron y los modulos: espacio de rutas, que expone cada modulo, que entrega el cascaron, variables de estilo y la regla de que cada modulo debe funcionar solo.

TERMINADA, en el repositorio teambsoft-hostapp.","sprint-1","rances","documentacion"
"TAR-GUI","Task","Guias paso a paso para los cinco companeros","EP-DOC","High","Seis guias en docs/guias/ con el codigo ya probado, el arbol de archivos, como verificar cada paso y una tabla de errores comunes.

TERMINADA (pull request #7).","sprint-1","rances","documentacion"
"TAR-AVI","Task","Avisar a los equipos A y C del contrato v2.3","EP-DOC","Highest","El equipo A sigue trabajando contra nuestro v2.0: no sabe que ya se les resolvio la descripcion en los eventos, que marcaron como bloqueante, ni conoce el nombre del exchange al que debe suscribirse.

URGENTE: cada dia que pasa es trabajo suyo hecho contra un contrato viejo.","sprint-1","rances","coordinacion"
"TAR-PRO","Task","Proteger la rama main en los tres repositorios","EP-DOC","Medium","Regla que exige pull request con una aprobacion, y bloquea el borrado y la reescritura de historial de main.

Pendiente en teambsoft-backend, teambsoft-frontend y teambsoft-hostapp.","sprint-1","rances","coordinacion"
"TAR-CAR","Task","Decidir donde vive el boton Agregar al carro","EP-DOC","Low","Pendiente entre los 3 equipos: si lo pinta el modulo de Catalogo y emite un evento, o si el Host App monta ahi un componente del modulo de Carro.

Mientras tanto, el modulo de Catalogo deja el espacio reservado.","sprint-1","rances","coordinacion"
